sweep_type,algorithm,parameter_value,sample_id,generation_time,success,attempts,quality_score,timestamp,parameter_name
algorithm_comparison,N=K,N=K,1,0.00021195411682128906,False,2,0.6899651551342859,2025-08-07T00:40:39.918750,
algorithm_comparison,N=K,N=K,2,3.075599670410156e-05,False,1,0.6165419293690202,2025-08-07T00:40:39.918798,
algorithm_comparison,N=K,N=K,3,2.0265579223632812e-05,False,1,0.6069553031051286,2025-08-07T00:40:39.918820,
algorithm_comparison,N=K,N=K,4,1.52587890625e-05,False,1,0.5853862819701943,2025-08-07T00:40:39.918838,
algorithm_comparison,N=K,N=K,5,1.4066696166992188e-05,False,1,0.621190547547255,2025-08-07T00:40:39.918853,
algorithm_comparison,N=K+D,N=K+D,1,1.5020370483398438e-05,False,1,0.6330432921606177,2025-08-07T00:40:39.918870,
algorithm_comparison,N=K+D,N=K+D,2,1.4066696166992188e-05,False,1,0.6675872259513378,2025-08-07T00:40:39.918889,
algorithm_comparison,N=K+D,N=K+D,3,1.5974044799804688e-05,False,3,0.6214213817336459,2025-08-07T00:40:39.918907,
algorithm_comparison,N=K+D,N=K+D,4,1.4066696166992188e-05,False,1,0.5992647467580074,2025-08-07T00:40:39.918926,
algorithm_comparison,N=K+D,N=K+D,5,1.3828277587890625e-05,False,1,0.54160179213816,2025-08-07T00:40:39.918941,
similarity_threshold,,0.3,1,5.3882598876953125e-05,True,1,0.6196324700285579,2025-08-07T00:40:40.111719,similarity_threshold
similarity_threshold,,0.3,2,1.9311904907226562e-05,True,1,0.6728496819079037,2025-08-07T00:40:40.111749,similarity_threshold
similarity_threshold,,0.3,3,1.4066696166992188e-05,True,2,0.6559387739667009,2025-08-07T00:40:40.111766,similarity_threshold
similarity_threshold,,0.3,4,1.3113021850585938e-05,True,2,0.57471199225612,2025-08-07T00:40:40.111782,similarity_threshold
similarity_threshold,,0.3,5,1.2874603271484375e-05,True,1,0.5702556423535714,2025-08-07T00:40:40.111796,similarity_threshold
similarity_threshold,,0.6,1,5.793571472167969e-05,False,20,0.0,2025-08-07T00:40:40.111857,similarity_threshold
similarity_threshold,,0.6,2,5.602836608886719e-05,False,20,0.0,2025-08-07T00:40:40.111919,similarity_threshold
similarity_threshold,,0.6,3,4.57763671875e-05,False,20,0.0,2025-08-07T00:40:40.111966,similarity_threshold
similarity_threshold,,0.6,4,5.1975250244140625e-05,False,20,0.0,2025-08-07T00:40:40.112020,similarity_threshold
similarity_threshold,,0.6,5,6.103515625e-05,False,20,0.0,2025-08-07T00:40:40.112082,similarity_threshold
similarity_threshold,,0.8,1,2.4080276489257812e-05,False,20,0.0,2025-08-07T00:40:40.112108,similarity_threshold
similarity_threshold,,0.8,2,2.7894973754882812e-05,False,20,0.0,2025-08-07T00:40:40.112137,similarity_threshold
similarity_threshold,,0.8,3,2.7894973754882812e-05,False,20,0.0,2025-08-07T00:40:40.112167,similarity_threshold
similarity_threshold,,0.8,4,1.8358230590820312e-05,False,20,0.0,2025-08-07T00:40:40.112186,similarity_threshold
similarity_threshold,,0.8,5,3.0994415283203125e-05,False,20,0.0,2025-08-07T00:40:40.112219,similarity_threshold
